Ingredient,Total_Required_Grams
Chicken,19260.888200978145
Red Onions,17124.711245306786
Capocollo,15304.013500298484
Tomatoes,11781.19536287554
Bacon,9952.367732488745
Pepperoni,8624.420357372148
Mushrooms,7379.159865251461
Garlic,6180.497496641662
Spinach,5997.475930681886
Corn,5421.245518245149
Mozzarella Cheese,4353.057895465829
Calabrese Salami,4279.095767510253
Red Peppers,3574.3735081158393
Goat Cheese,3115.5307089490775
Pineapple,3095.1068505592
Parmigiano Reggiano Cheese,3043.9480596408657
Coarse Sicilian Salami,2964.830394616001
Beef Chuck Roast,2948.967203633572
Feta Cheese,2511.539712293089
Artichokes,2502.4183774781923
Soppressata Salami,2018.5910525141044
Genoa Salami,1941.654576249323
Green Peppers,1911.117933608147
Chorizo Sausage,1897.6342212730829
Chipotle Sauce,1617.252320658648
Ricotta Cheese,1594.2506937341254
Barbecued Chicken,1546.6611207868382
Luganega Sausage,1482.4151973080004
Fontina Cheese,1427.8854783059003
Asiago Cheese,1410.237678337948
Jalapeno Peppers,1320.7097942308637
Gorgonzola Piccante Cheese,1275.4005549873007
Green Olives,1245.5579269516059
Pancetta,1220.0776764360792
Pesto Sauce,1133.0284159199991
Thai Sweet Chilli Sauce,1123.5105013305417
Gouda Cheese,1024.1672678030795
Zucchini,964.0854319571291
Anchovies,842.4345861106259
Provolone Cheese,837.5764838722571
Smoked Gouda Cheese,837.5764838722571
Blue Cheese,837.5764838722571
Romano Cheese,837.5764838722571
?duja Salami,813.3851176240528
Cilantro,808.626160329324
Plum Tomatoes,772.9339806188585
Kalamata Olives,764.3083705221626
Onions,741.2075986540002
Eggplant,732.482843613664
Prosciutto di San Daniele,666.2540212620227
Barbecue Sauce,532.3092024041368
Peperoncini verdi,451.1094935628279
Italian Sausage,379.52684425461655
Sun-dried Tomatoes,373.67729257984575
Oregano,327.7731836744415
Alfredo Sauce,302.68951293347544
Prosciutto,291.48613430213493
Brie Carre Cheese,291.48613430213493
Arugula,289.9989601475322
Friggitello Peppers,203.3462794060132
Pears,97.1620447673783
Thyme,48.58102238368915
Sliced Ham,0.0
Caramelized Onions,0.0
